fname,itp,tp_prob,its,ts_prob
HK.HKPS.mseed_0,[],[],[],[]
HK.HKPS.mseed_0,[],[],[],[]
HK.HKPS.mseed_3000,[],[],[],[]
HK.HKPS.mseed_6000,[],[],[],[]
HK.HKPS.mseed_9000,[],[],[],[]
HK.HKPS.mseed_12000,[],[],[],[]
HK.HKPS.mseed_15000,[],[],[],[]
HK.HKPS.mseed_18000,[],[],[],[]
HK.HKPS.mseed_21000,[],[],[],[]
HK.HKPS.mseed_24000,[],[],[],[]
HK.HKPS.mseed_27000,[],[],[],[]
HK.HKPS.mseed_30000,[],[],[],[]
HK.HKPS.mseed_33000,[],[],[],[]
HK.HKPS.mseed_36000,[],[],[],[]
HK.HKPS.mseed_39000,[],[],[],[]
HK.HKPS.mseed_42000,[],[],[],[]
HK.HKPS.mseed_45000,[],[],[],[]
HK.HKPS.mseed_3000,[],[],[],[]
HK.HKPS.mseed_48000,[],[],[],[]
HK.HKPS.mseed_51000,[],[],[],[]
HK.HKPS.mseed_54000,[],[],[],[]
HK.HKPS.mseed_57000,[],[],[],[]
HK.HKPS.mseed_60000,[],[],[],[]
HK.HKPS.mseed_63000,[],[],[],[]
HK.HKPS.mseed_66000,[],[],[],[]
HK.HKPS.mseed_69000,[],[],[],[]
HK.HKPS.mseed_72000,[],[],[],[]
HK.HKPS.mseed_75000,[],[],[],[]
HK.HKPS.mseed_78000,[],[],[],[]
HK.HKPS.mseed_81000,[],[],[],[]
HK.HKPS.mseed_84000,[],[],[],[]
HK.HKPS.mseed_87000,[],[],[],[]
HK.HKPS.mseed_90000,[],[],[],[]
HK.HKPS.mseed_93000,[],[],[],[]
HK.HKPS.mseed_96000,[],[],[],[]
HK.HKPS.mseed_99000,[],[],[],[]
HK.HKPS.mseed_102000,[],[],[],[]
HK.HKPS.mseed_105000,[],[],[],[]
HK.HKPS.mseed_108000,[],[],[],[]
HK.HKPS.mseed_111000,[],[],[],[]
HK.HKPS.mseed_114000,[],[],[],[]
HK.HKPS.mseed_117000,[],[],[],[]
HK.HKPS.mseed_120000,[],[],[],[]
