fname,itp,tp_prob,its,ts_prob
HK.HKCC2.npz_7500.npz,[],[],[],[]
HK.HKCC2.npz_4500.npz,[],[],[],[]
HK.HKCC2.npz_6000.npz,[],[],[],[]
HK.HKCC2.npz_3000.npz,[],[],[],[]
HK.HKCC2.npz_1500.npz,[],[],[],[]
HK.HKCC2.npz_0.npz,[],[],[],[]
HK.HKCC2.npz_9000.npz,[],[],[],[]
HK.HKCC2.npz_10500.npz,[],[],[],[]
HK.HKCC2.npz_19500.npz,[],[],[],[]
HK.HKCC2.npz_18000.npz,[],[],[],[]
HK.HKCC2.npz_15000.npz,[],[],[],[]
HK.HKCC2.npz_13500.npz,[],[],[],[]
HK.HKCC2.npz_21000.npz,[],[],[],[]
HK.HKCC2.npz_12000.npz,[],[],[],[]
HK.HKCC2.npz_16500.npz,[],[],[],[]
HK.HKCC2.npz_30000.npz,[],[],[],[]
HK.HKCC2.npz_22500.npz,[],[],[],[]
HK.HKCC2.npz_31500.npz,[],[],[],[]
HK.HKCC2.npz_27000.npz,[],[],[],[]
HK.HKCC2.npz_25500.npz,[],[],[],[]
HK.HKCC2.npz_33000.npz,[],[],[],[]
HK.HKCC2.npz_24000.npz,[],[],[],[]
HK.HKCC2.npz_28500.npz,[],[],[177],[ 0.66986454]
HK.HKCC2.npz_42000.npz,[],[],[],[]
HK.HKCC2.npz_34500.npz,[],[],[],[]
HK.HKCC2.npz_43500.npz,[],[],[],[]
HK.HKCC2.npz_39000.npz,[],[],[],[]
HK.HKCC2.npz_37500.npz,[],[],[],[]
HK.HKCC2.npz_45000.npz,[],[],[],[]
HK.HKCC2.npz_36000.npz,[],[],[],[]
HK.HKCC2.npz_40500.npz,[],[],[],[]
HK.HKCC2.npz_54000.npz,[2564],[ 0.39618108],[],[]
HK.HKCC2.npz_46500.npz,[],[],[],[]
HK.HKCC2.npz_55500.npz,[],[],[],[]
HK.HKCC2.npz_51000.npz,[],[],[],[]
HK.HKCC2.npz_49500.npz,[],[],[],[]
HK.HKCC2.npz_57000.npz,[],[],[],[]
HK.HKCC2.npz_48000.npz,[],[],[],[]
