fname,itp,tp_prob,its,ts_prob
CCC.mseed_0,[],[],[],[]
CCC.mseed_3000,[],[],[],[]
CCC.mseed_6000,[],[],[],[]
CCC.mseed_9000,[],[],[],[]
CCC.mseed_12000,[],[],[],[]
CCC.mseed_15000,[1485],[ 0.4065133],[1691],[ 0.41546437]
CCC.mseed_18000,[22],[ 0.9469001],[408],[ 0.8959747]
CCC.mseed_21000,[],[],[],[]
CCC.mseed_24000,[739],[ 0.7079146],[1109],[ 0.53015083]
CCC.mseed_27000,[],[],[],[]
CCC.mseed_30000,[643],[ 0.5714132],[1017 1396],[ 0.31971347  0.8264013 ]
CCC.mseed_33000,[2291],[ 0.89669687],[2676],[ 0.7781755]
CCC.mseed_36000,[],[],[],[]
CCC.mseed_39000,[],[],[236],[ 0.88311195]
CCC.mseed_42000,[],[],[],[]
CCC.mseed_45000,[],[],[],[]
CCC.mseed_48000,[],[],[],[]
CCC.mseed_51000,[ 135 2680],[ 0.96860427  0.8473118 ],[520],[ 0.8823243]
CCC.mseed_54000,[2491],[ 0.97817034],[2864],[ 0.8041124]
CCC.mseed_57000,[],[],[45],[ 0.31337118]
CCC.mseed_60000,[],[],[],[]
CCC.mseed_63000,[],[],[],[]
CCC.mseed_66000,[],[],[],[]
CCC.mseed_69000,[1477],[ 0.35573837],[1150 1837],[ 0.85818166  0.91888946]
CCC.mseed_72000,[1975],[ 0.9795719],[2357],[ 0.91418636]
CCC.mseed_75000,[1291 2344],[ 0.89227784  0.40007725],[1673 2477],[ 0.8508318  0.7741543]
CCC.mseed_78000,[],[],[],[]
CCC.mseed_81000,[],[],[1481],[ 0.5902602]
CCC.mseed_84000,[1717],[ 0.55687904],[  48 1941],[ 0.85177946  0.66135395]
CCC.mseed_87000,[],[],[2311],[ 0.564224]
CCC.mseed_90000,[],[],[],[]
CCC.mseed_93000,[2191],[ 0.97152394],[2573],[ 0.89714354]
CCC.mseed_96000,[2495],[ 0.51037157],[  46 2722],[ 0.7162073   0.73188984]
CCC.mseed_99000,[],[],[],[]
CCC.mseed_102000,[],[],[],[]
CCC.mseed_105000,[],[],[],[]
CCC.mseed_108000,[1176],[ 0.83326304],[1621],[ 0.72560906]
CCC.mseed_111000,[],[],[],[]
CCC.mseed_114000,[],[],[],[]
CCC.mseed_117000,[],[],[],[]
CCC.mseed_120000,[],[],[],[]
CCC.mseed_123000,[],[],[],[]
CCC.mseed_126000,[],[],[],[]
CCC.mseed_129000,[],[],[],[]
CCC.mseed_132000,[2407],[ 0.33784688],[],[]
CCC.mseed_135000,[],[],[],[]
CCC.mseed_138000,[],[],[],[]
CCC.mseed_141000,[],[],[],[]
CCC.mseed_144000,[],[],[],[]
CCC.mseed_147000,[],[],[],[]
CCC.mseed_150000,[],[],[],[]
CCC.mseed_153000,[],[],[],[]
CCC.mseed_156000,[114],[ 0.72629637],[],[]
CCC.mseed_159000,[],[],[],[]
CCC.mseed_162000,[],[],[],[]
CCC.mseed_165000,[1005],[ 0.38374364],[ 633 1374],[ 0.6875568   0.86543566]
CCC.mseed_168000,[],[],[],[]
CCC.mseed_171000,[],[],[],[]
CCC.mseed_174000,[],[],[],[]
CCC.mseed_177000,[],[],[],[]
CCC.mseed_180000,[],[],[],[]
CCC.mseed_183000,[972],[ 0.9281366],[1354],[ 0.7810359]
CCC.mseed_186000,[],[],[],[]
